cand_id,cand_name,cand_pty_affliation,result,totaldonations,uniquepercent,smallpercent,largepercent
H0AR021072014,"GRIFFIN, JOHN TIMOTHY                                                                                                                                                                                   ",REP,1,56,0.48214285714285715,0.03571428571428571,0.6428571428571429
H0CA030782012,"BERA, AMERISH                                                                                                                                                                                           ",DEM,1,2082,0.4092219020172911,0.009606147934678195,0.10278578290105668
H0CA030782014,"BERA, AMERISH                                                                                                                                                                                           ",DEM,1,2124,0.4105461393596987,0.0018832391713747645,0.09698681732580038
H0CA260872012,"MILLER, DAVID LAWRENCE                                                                                                                                                                                  ",REP,0,28,0.42857142857142855,0.07142857142857142,0.14285714285714285
H0CA260872012,"MILLER, DAVID LAWRENCE                                                                                                                                                                                  ",REP,0,28,0.42857142857142855,0.07142857142857142,0.14285714285714285
H0CA480242012,"ISSA, DARRELL                                                                                                                                                                                           ",REP,1,534,0.4737827715355805,0.011235955056179775,0.09737827715355805
H0CA480242014,"ISSA, DARRELL                                                                                                                                                                                           ",REP,1,350,0.46285714285714286,0.022857142857142857,0.12571428571428572
H0FL082082012,"WEBSTER, DANIEL                                                                                                                                                                                         ",REP,1,262,0.48854961832061067,0.007633587786259542,0.15267175572519084
H0HI011572014,"DJOU, CHARLES K                                                                                                                                                                                         ",REP,0,309,0.889967637540453,0.003236245954692557,0.11650485436893204
H0IL080902012,"WALSH, JOE                                                                                                                                                                                              ",REP,0,810,0.43950617283950616,0.0049382716049382715,0.33827160493827163
H0IL080902012,"WALSH, JOE                                                                                                                                                                                              ",REP,0,810,0.43950617283950616,0.0049382716049382715,0.33827160493827163
H0IL110522014,"KINZINGER, ADAM                                                                                                                                                                                         ",REP,1,438,0.4657534246575342,0.0045662100456621,0.228310502283105
H0IN090702014,"YOUNG, TODD CHRISTOPHER                                                                                                                                                                                 ",REP,1,746,0.4597855227882037,0.002680965147453083,0.3002680965147453
H0IN090702012,"YOUNG, TODD CHRISTOPHER                                                                                                                                                                                 ",REP,1,998,0.42685370741482964,0.002004008016032064,0.24649298597194388
H0KY061042012,"BARR, GARLAND ANDY                                                                                                                                                                                      ",REP,1,1956,0.4544989775051125,0.0010224948875255625,0.15950920245398773
H0MO022132014,"LIEBER, ARTHUR H                                                                                                                                                                                        ",DEM,0,8,0.125,0.375,0.375
H0NH021812012,"KUSTER, ANN MCLANE                                                                                                                                                                                      ",DEM,1,878,0.4328018223234624,0.002277904328018223,0.13211845102505695
H0NV030582014,"HECK, JOE                                                                                                                                                                                               ",REP,1,738,0.45663956639566394,0.0027100271002710027,0.23306233062330622
H0NY011292012,"ALTSCHULER, RANDOLPH MR.                                                                                                                                                                                ",REP,0,972,0.48148148148148145,0.00205761316872428,0.38477366255144035
H0NY011292012,"ALTSCHULER, RANDOLPH MR.                                                                                                                                                                                ",REP,0,972,0.48148148148148145,0.00205761316872428,0.38477366255144035
H0NY020852014,"ISRAEL, STEVE J.                                                                                                                                                                                        ",DEM,1,1028,0.4766536964980545,0.0019455252918287938,0.46303501945525294
H0NY040992012,"BECKER, FRANCIS X. JR.                                                                                                                                                                                  ",REP,0,142,0.44366197183098594,0.056338028169014086,0.04225352112676056
H0NY130742014,"GRIMM, MICHAEL                                                                                                                                                                                          ",REP,1,294,0.46258503401360546,0.006802721088435374,0.3401360544217687
H0NY191392014,"HAYWORTH, NAN                                                                                                                                                                                           ",REP,0,958,0.4144050104384134,0.012526096033402923,0.22964509394572025
H0NY191392012,"HAYWORTH, NAN                                                                                                                                                                                           ",REP,0,946,0.4334038054968288,0.008456659619450317,0.22410147991543342
H0NY230812014,"OWENS, WILLIAM                                                                                                                                                                                          ",DEM,1,48,0.25,0.08333333333333333,0.625
H0NY290542014,"REED, THOMAS W II                                                                                                                                                                                       ",REP,1,238,0.453781512605042,0.008403361344537815,0.3445378151260504
H0OH080292014,"BOEHNER, JOHN A.                                                                                                                                                                                        ",REP,1,1382,0.41606367583212733,0.001447178002894356,0.08393632416787265
H0OH160972014,"RENACCI, JAMES B                                                                                                                                                                                        ",REP,1,544,0.45955882352941174,0.003676470588235294,0.15073529411764705
H0OR040812012,"ROBINSON, ARTHUR BROUHARD                                                                                                                                                                               ",REP,0,848,0.35377358490566035,0.007075471698113208,0.07783018867924528
H0OR050472012,"THOMPSON, FRED                                                                                                                                                                                          ",REP,0,16,0.6875,0.25,0.1875
