,cand_id,cand_name,cand_pty_affliation,cand_election_yr,result
0,H0AL02087,"ROBY, MARTHA                                                                                                                                                                                            ",REP,2014  ,1
1,H0AL02087,"ROBY, MARTHA                                                                                                                                                                                            ",REP,2012  ,1
2,H0AL05163,"BROOKS, MO                                                                                                                                                                                              ",REP,2014  ,1
3,H0AL05163,"BROOKS, MO                                                                                                                                                                                              ",REP,2012  ,1
4,H0AL07086,"SEWELL, TERRYCINA ANDREA                                                                                                                                                                                ",DEM,2012  ,1
5,H0AL07086,"SEWELL, TERRI A.                                                                                                                                                                                        ",DEM,2014  ,1
6,H0AL07177,"CHAMBERLAIN, DON                                                                                                                                                                                        ",REP,2012  ,0
7,H0AL07177,"CHAMBERLAIN, DON                                                                                                                                                                                        ",REP,2012  ,0
8,H0AR01083,"CRAWFORD, ERIC ALAN RICK                                                                                                                                                                                ",REP,2014  ,1
9,H0AR01083,"CRAWFORD, ERIC ALAN RICK                                                                                                                                                                                ",REP,2012  ,1
10,H0AR02107,"GRIFFIN, JOHN TIMOTHY                                                                                                                                                                                   ",REP,2012  ,1
11,H0AR02107,"GRIFFIN, JOHN TIMOTHY                                                                                                                                                                                   ",REP,2014  ,1
12,H0AR03055,"WOMACK, STEVE                                                                                                                                                                                           ",REP,2014  ,1
13,H0AR03055,"WOMACK, STEVE                                                                                                                                                                                           ",REP,2012  ,1
14,H0AZ01259,"GOSAR, PAUL ANTHONY                                                                                                                                                                                     ",REP,2012  ,1
15,H0AZ01259,"GOSAR, PAUL ANTHONY                                                                                                                                                                                     ",REP,2014  ,1
16,H0AZ01325,"TOBIN, ANDY HON.                                                                                                                                                                                        ",REP,2014  ,0
17,H0AZ03248,"SCHARER, GENE PAUL                                                                                                                                                                                      ",DEM,2012  ,0
18,H0AZ03321,"PARKER, VERNON                                                                                                                                                                                          ",REP,2012  ,0
19,H0AZ03321,"PARKER, VERNON                                                                                                                                                                                          ",REP,2014  ,0
20,H0AZ08056,"PATON, JONATHAN                                                                                                                                                                                         ",REP,2012  ,0
21,H0AZ08056,"PATON, JONATHAN                                                                                                                                                                                         ",REP,2012  ,0
22,H0CA02138,"REED, JAMES E                                                                                                                                                                                           ",DEM,2012  ,0
23,H0CA02138,"REED, JAMES E                                                                                                                                                                                           ",DEM,2012  ,0
24,H0CA03078,"BERA, AMERISH                                                                                                                                                                                           ",DEM,2012  ,1
25,H0CA03078,"BERA, AMERISH                                                                                                                                                                                           ",DEM,2014  ,1
26,H0CA06121,"ROBERTS, DANIEL                                                                                                                                                                                         ",REP,2012  ,0
27,H0CA06121,"ROBERTS, DANIEL                                                                                                                                                                                         ",REP,2012  ,0
28,H0CA08069,"DENNIS, JOHN                                                                                                                                                                                            ",REP,2012  ,0
29,H0CA08069,"DENNIS, JOHN                                                                                                                                                                                            ",REP,2014  ,0
30,H0CA10073,"DESAULNIER, MARK                                                                                                                                                                                        ",DEM,2010  ,1
31,H0CA10073,"DESAULNIER, MARK                                                                                                                                                                                        ",DEM,2014  ,1
32,H0CA10149,"GARAMENDI, JOHN                                                                                                                                                                                         ",DEM,2012  ,1
33,H0CA10149,"GARAMENDI, JOHN                                                                                                                                                                                         ",DEM,2014  ,1
34,H0CA11337,"AMADOR, ANTONIO CANDIA                                                                                                                                                                                  ",REP,2014  ,0
