,cand_id,cand_name,cand_pty_affliation,result
0,H0AL020872014,"ROBY, MARTHA                                                                                                                                                                                            ",REP,1
1,H0AL020872012,"ROBY, MARTHA                                                                                                                                                                                            ",REP,1
2,H0AL051632014,"BROOKS, MO                                                                                                                                                                                              ",REP,1
3,H0AL051632012,"BROOKS, MO                                                                                                                                                                                              ",REP,1
4,H0AL070862012,"SEWELL, TERRYCINA ANDREA                                                                                                                                                                                ",DEM,1
5,H0AL070862014,"SEWELL, TERRI A.                                                                                                                                                                                        ",DEM,1
6,H0AL071772012,"CHAMBERLAIN, DON                                                                                                                                                                                        ",REP,0
7,H0AL071772012,"CHAMBERLAIN, DON                                                                                                                                                                                        ",REP,0
8,H0AR010832014,"CRAWFORD, ERIC ALAN RICK                                                                                                                                                                                ",REP,1
9,H0AR010832012,"CRAWFORD, ERIC ALAN RICK                                                                                                                                                                                ",REP,1
10,H0AR021072012,"GRIFFIN, JOHN TIMOTHY                                                                                                                                                                                   ",REP,1
11,H0AR021072014,"GRIFFIN, JOHN TIMOTHY                                                                                                                                                                                   ",REP,1
12,H0AR030552014,"WOMACK, STEVE                                                                                                                                                                                           ",REP,1
13,H0AR030552012,"WOMACK, STEVE                                                                                                                                                                                           ",REP,1
14,H0AZ012592012,"GOSAR, PAUL ANTHONY                                                                                                                                                                                     ",REP,1
15,H0AZ012592014,"GOSAR, PAUL ANTHONY                                                                                                                                                                                     ",REP,1
16,H0AZ013252014,"TOBIN, ANDY HON.                                                                                                                                                                                        ",REP,0
17,H0AZ032482012,"SCHARER, GENE PAUL                                                                                                                                                                                      ",DEM,0
18,H0AZ033212012,"PARKER, VERNON                                                                                                                                                                                          ",REP,0
19,H0AZ033212014,"PARKER, VERNON                                                                                                                                                                                          ",REP,0
20,H0AZ080562012,"PATON, JONATHAN                                                                                                                                                                                         ",REP,0
21,H0AZ080562012,"PATON, JONATHAN                                                                                                                                                                                         ",REP,0
22,H0CA021382012,"REED, JAMES E                                                                                                                                                                                           ",DEM,0
23,H0CA021382012,"REED, JAMES E                                                                                                                                                                                           ",DEM,0
24,H0CA030782012,"BERA, AMERISH                                                                                                                                                                                           ",DEM,1
25,H0CA030782014,"BERA, AMERISH                                                                                                                                                                                           ",DEM,1
26,H0CA061212012,"ROBERTS, DANIEL                                                                                                                                                                                         ",REP,0
27,H0CA061212012,"ROBERTS, DANIEL                                                                                                                                                                                         ",REP,0
28,H0CA080692012,"DENNIS, JOHN                                                                                                                                                                                            ",REP,0
29,H0CA080692014,"DENNIS, JOHN                                                                                                                                                                                            ",REP,0
30,H0CA100732010,"DESAULNIER, MARK                                                                                                                                                                                        ",DEM,1
