,cand_id,cand_name,cand_pty_affliation,result,degreecentrality
0,H0AL020872014,"ROBY, MARTHA                                                                                                                                                                                            ",REP,1,0.0006013647500857318
1,H0AL020872012,"ROBY, MARTHA                                                                                                                                                                                            ",REP,1,0.0005814849236366168
2,H0AL051632014,"BROOKS, MO                                                                                                                                                                                              ",REP,1,0.00011430900208241185
3,H0AL051632012,"BROOKS, MO                                                                                                                                                                                              ",REP,1,0.0008101029278014402
4,H0AL070862012,"SEWELL, TERRYCINA ANDREA                                                                                                                                                                                ",DEM,1,0.0005566351405752229
5,H0AL070862014,"SEWELL, TERRI A.                                                                                                                                                                                        ",DEM,1,0.00021370813432798733
6,H0AL071772012,"CHAMBERLAIN, DON                                                                                                                                                                                        ",REP,0,2.484978306139388e-05
7,H0AR010832014,"CRAWFORD, ERIC ALAN RICK                                                                                                                                                                                ",REP,1,0.0006957939257190287
8,H0AR010832012,"CRAWFORD, ERIC ALAN RICK                                                                                                                                                                                ",REP,1,0.0013418882853152693
9,H0AR021072012,"GRIFFIN, JOHN TIMOTHY                                                                                                                                                                                   ",REP,1,0.0011629698472732336
10,H0AR021072014,"GRIFFIN, JOHN TIMOTHY                                                                                                                                                                                   ",REP,1,0.00013418882853152693
11,H0AR030552014,"WOMACK, STEVE                                                                                                                                                                                           ",REP,1,0.0008498625806996706
12,H0AR030552012,"WOMACK, STEVE                                                                                                                                                                                           ",REP,1,0.0011828496737223484
13,H0AZ012592012,"GOSAR, PAUL ANTHONY                                                                                                                                                                                     ",REP,1,0.00018885835126659342
14,H0AZ012592014,"GOSAR, PAUL ANTHONY                                                                                                                                                                                     ",REP,1,4.969956612278776e-05
15,H0AZ013252014,"TOBIN, ANDY HON.                                                                                                                                                                                        ",REP,0,0.0007604033616786526
16,H0AZ032482012,"SCHARER, GENE PAUL                                                                                                                                                                                      ",DEM,0,
17,H0AZ033212012,"PARKER, VERNON                                                                                                                                                                                          ",REP,0,0.0007653733182909312
18,H0AZ033212014,"PARKER, VERNON                                                                                                                                                                                          ",REP,0,
19,H0AZ080562012,"PATON, JONATHAN                                                                                                                                                                                         ",REP,0,0.0006659741860453557
20,H0CA021382012,"REED, JAMES E                                                                                                                                                                                           ",DEM,0,0.0001192789586946906
21,H0CA030782012,"BERA, AMERISH                                                                                                                                                                                           ",DEM,1,0.0042344030336615174
22,H0CA030782014,"BERA, AMERISH                                                                                                                                                                                           ",DEM,1,0.004338772122519371
23,H0CA061212012,"ROBERTS, DANIEL                                                                                                                                                                                         ",REP,0,6.957939257190285e-05
24,H0CA080692012,"DENNIS, JOHN                                                                                                                                                                                            ",REP,0,0.00026837765706305385
25,H0CA080692014,"DENNIS, JOHN                                                                                                                                                                                            ",REP,0,0.00019382830787887225
26,H0CA100732010,"DESAULNIER, MARK                                                                                                                                                                                        ",DEM,1,
27,H0CA100732014,"DESAULNIER, MARK                                                                                                                                                                                        ",DEM,1,0.0002882574835121689
28,H0CA101492012,"GARAMENDI, JOHN                                                                                                                                                                                         ",DEM,1,0.0017096650746238984
29,H0CA101492014,"GARAMENDI, JOHN                                                                                                                                                                                         ",DEM,1,0.0008647724505365067
30,H0CA113372014,"AMADOR, ANTONIO CANDIA                                                                                                                                                                                  ",REP,0,0.00013418882853152693
31,H0CA140752012,"CHAPMAN, DAVE                                                                                                                                                                                           ",DEM,0,
32,H0CA151482014,"HONDA, MIKE                                                                                                                                                                                             ",DEM,1,0.0020724719073202487
33,H0CA151482012,"HONDA, MIKE                                                                                                                                                                                             ",DEM,1,0.00046717592155420487
34,H0CA171852014,"KABAT, RONALD PAUL                                                                                                                                                                                      ",NNE,0,
35,H0CA171852012,"KABAT, RONALD P.                                                                                                                                                                                        ",NPA,0,
36,H0CA190822014,"HERNANDEZ, JOHN STEPHEN                                                                                                                                                                                 ",DEM,0,9.93991322455755e-06
37,H0CA190822012,"HERNANDEZ, JOHN S                                                                                                                                                                                       ",DEM,0,5.466952273506653e-05
38,H0CA191732014,"DENHAM, JEFF                                                                                                                                                                                            ",REP,1,0.0011033303679258881
39,H0CA191732012,"DENHAM, JEFF                                                                                                                                                                                            ",REP,1,0.0012424891530696935
40,H0CA260872012,"MILLER, DAVID LAWRENCE                                                                                                                                                                                  ",REP,0,5.96394793473453e-05
41,H0CA270852014,"SCHIFF, ADAM                                                                                                                                                                                            ",DEM,1,0.0005119055310647138
42,H0CA270852012,"SCHIFF, ADAM                                                                                                                                                                                            ",DEM,1,0.0008796823203733432
43,H0CA321012012,"CHU, JUDY                                                                                                                                                                                               ",DEM,1,0.0014760771138467965
44,H0CA321012014,"CHU, JUDY                                                                                                                                                                                               ",DEM,1,0.0009492617129452461
45,H0CA331172012,"BASS, KAREN                                                                                                                                                                                             ",DEM,1,0.0001590386115929208
46,H0CA331172014,"BASS, KAREN                                                                                                                                                                                             ",DEM,1,0.0008697424071487858
47,H0CA331332012,"JENNERJAHN, PHIL                                                                                                                                                                                        ",REP,0,
48,H0CA340992012,"SANCHEZ, DAVID                                                                                                                                                                                          ",DEM,1,
49,H0CA340992014,"SANCHEZ, DAVID                                                                                                                                                                                          ",DEM,1,
50,H0CA480242012,"ISSA, DARRELL                                                                                                                                                                                           ",REP,1,0.0012573990229065304
51,H0CA480242014,"ISSA, DARRELL                                                                                                                                                                                           ",REP,1,0.0008051329711891616
52,H0CA490552012,"DAVIS, SUSAN A                                                                                                                                                                                          ",DEM,1,0.00037771670253318684
53,H0CA490552014,"DAVIS, SUSAN                                                                                                                                                                                            ",DEM,1,0.00017394848142975714
54,H0CA510362012,"POPADITCH, NICHOLAS ALLEN                                                                                                                                                                               ",REP,0,0.00014909869836836326
55,H0CO041222012,"GARDNER, CORY                                                                                                                                                                                           ",REP,1,0.0014114676778871722
56,H0CO041222014,"GARDNER, CORY                                                                                                                                                                                           ",REP,1,0.015237886973246725
