cand_id,name,transaction_amt
H0AL020872012,44,44
H0AL020872014,38,38
H0AL051632012,18,18
H0AL051632014,20,20
H0AL070862012,32,32
H0AL070862014,28,28
H0AR010832012,36,36
H0AR010832014,18,18
H0AR021072012,106,106
H0AR021072014,36,36
H0AR030552012,42,42
H0AR030552014,26,26
H0AZ012592012,22,22
H0AZ012592014,8,8
H0AZ013252014,50,50
H0AZ033212012,37,37
H0AZ080562012,142,142
H0CA021382012,8,8
H0CA030782012,214,214
H0CA030782014,206,206
H0CA061212012,8,8
H0CA080692012,7,7
H0CA100732014,8,8
H0CA101492012,110,110
H0CA101492014,64,64
H0CA113372014,3,3
H0CA151482012,28,28
H0CA151482014,192,192
H0CA190822014,1,1
H0CA191732012,138,138
H0CA191732014,126,126
H0CA260872012,4,4
H0CA270852012,74,74
H0CA270852014,48,48
H0CA321012012,72,72
H0CA321012014,50,50
H0CA331172012,24,24
H0CA331172014,88,88
H0CA480242012,52,52
H0CA480242014,44,44
H0CA490552012,12,12
H0CA490552014,16,16
H0CA510362012,8,8
H0CO041222012,124,124
H0CO041222014,1574,1574
H0CT030722012,34,34
H0CT030722014,42,42
H0CT041462014,83,83
H0CT051502012,30,30
H0CT051502014,50,50
H0DE010172012,20,20
H0DE010172014,4,4
H0FL020862012,20,20
H0FL021102012,92,92
H0FL021102014,168,168
H0FL021362014,2,2
H0FL031002012,4,4
H0FL040662012,12,12
H0FL040662014,36,36
H0FL051392012,4,4
H0FL051392014,4,4
H0FL070772012,24,24
H0FL082082012,40,40
H0FL082082014,46,46
H0FL121012012,26,26
H0FL121012014,6,6
H0FL170682012,2,2
H0FL170682014,8,8
H0FL180252012,108,108
H0FL180252014,40,40
H0FL190802012,112,112
H0FL190802014,48,48
H0FL200702012,48,48
H0FL201042012,16,16
H0FL250382012,44,44
H0GA071252014,29,29
H0GA071332012,6,6
H0GA071332014,44,44
H0GA080992012,18,18
H0GA080992014,6,6
H0GA090302012,22,22
H0GA090302014,78,78
H0HI011572012,12,12
H0HI011572014,36,36
H0IA011172012,134,134
H0ID012532012,74,74
H0ID012532014,42,42
H0IL050962012,26,26
H0IL050962014,40,40
H0IL080902012,274,274
H0IL103022012,1188,1188
H0IL103022014,1176,1176
H0IL110522012,68,68
H0IL110522014,100,100
H0IL140802012,94,94
H0IL140802014,40,40
H0IL170592012,150,150
H0IL170592014,128,128
H0IN021252012,66,66
H0IN021252014,40,40
H0IN031982012,56,56
H0IN031982014,52,52
H0IN041702012,78,78
H0IN041702014,78,78
H0IN071572012,6,6
H0IN081142012,98,98
H0IN081142014,56,56
H0IN090702012,246,246
H0IN090702014,224,224
H0KS031372012,134,134
H0KS031372014,158,158
H0KS040512012,188,188
H0KS040512014,178,178
H0KY032262012,6,6
H0KY050152012,10,10
H0KY050152014,8,8
H0KY061042012,312,312
H0KY061042014,144,144
H0LA010872012,84,84
H0LA010872014,108,108
H0LA031412012,248,248
H0MA041272012,66,66
H0MA050662012,14,14
H0MA100822012,20,20
H0MA100822014,36,36
H0MI010882012,58,58
H0MI010882014,80,80
H0MI011532012,38,38
H0MI020942012,32,32
H0MI020942014,74,74
H0MI031262012,144,144
