cand_id,name,transaction_amt
H0AR021072014,2,2
H0CA030782012,20,20
H0CA030782014,4,4
H0CA260872012,2,2
H0CA480242012,6,6
H0CA480242014,8,8
H0FL082082012,2,2
H0FL140652012,2,2
H0HI011572014,1,1
H0IL080902012,4,4
H0IL110522014,2,2
H0IN090702012,2,2
H0IN090702014,2,2
H0KY061042012,2,2
H0MO011322012,2,2
H0MO022132014,3,3
H0NH021812012,2,2
H0NV030582014,2,2
H0NY011292012,2,2
H0NY020852014,2,2
H0NY040992012,8,8
H0NY130742014,2,2
H0NY191392012,8,8
H0NY191392014,12,12
H0NY230812014,4,4
H0NY290542014,2,2
H0OH080292014,2,2
H0OH160972014,2,2
H0OR040812012,6,6
H0OR050472012,4,4
H0PA042202012,1,1
H0PA042202014,3,3
H0PA060842012,24,24
H0PA060842014,1,1
H0SD000542012,6,6
H0SD000542014,4,4
H0TX171042012,4,4
H0VA020842014,2,2
H0VA070422014,56,56
H0VA080402014,6,6
H0WI070512012,2,2
H2AR040832012,8,8
H2AZ080942014,28,28
H2CA001202014,10,10
H2CA130992012,22,22
H2CA150942014,2,2
H2CA231142014,2,2
H2CA251432012,2,2
H2CA364392012,2,2
H2CA364392014,6,6
H2CA432452014,2,2
H2CA520892012,3,3
H2CA520892014,14,14
H2CO031382012,2,2
H2CO050592012,2,2
H2CO061492012,10,10
H2CT040682012,4,4
H2CT051312014,4,4
H2FL011002014,2,2
H2FL140532012,8,8
H2FL220722012,2,2
H2FL220722014,4,4
H2IA010552014,8,8
H2IA050722014,4,4
H2ID021332012,8,8
H2IL021492012,10,10
H2IL100682012,12,12
H2IL100682014,36,36
H2IL131382012,46,46
H2IL170712012,2,2
H2IN041352012,10,10
H2IN062392014,26,26
H2IN091672012,32,32
H2KS021192012,2,2
H2LA010752012,6,6
H2MA000142014,2,2
H2MD042732012,4,4
H2MD061952012,2,2
H2MI070992012,2,2
H2MN061982014,2,2
H2MO070932014,6,6
H2MS021382012,6,6
