cand_id,name,transaction_amt
H0AL020872012,242,242
H0AL020872014,254,254
H0AL051632012,350,350
H0AL051632014,48,48
H0AL070862012,244,244
H0AL070862014,86,86
H0AL071772012,10,10
H0AR010832012,572,572
H0AR010832014,288,288
H0AR021072012,478,478
H0AR021072014,56,56
H0AR030552012,494,494
H0AR030552014,370,370
H0AZ012592012,86,86
H0AZ012592014,20,20
H0AZ013252014,159,159
H0AZ033212012,156,156
H0AZ080562012,286,286
H0CA021382012,50,50
H0CA030782012,2082,2082
H0CA030782014,2124,2124
H0CA061212012,28,28
H0CA080692012,61,61
H0CA080692014,46,46
H0CA100732014,62,62
H0CA101492012,784,784
H0CA101492014,380,380
H0CA113372014,31,31
H0CA151482012,194,194
H0CA151482014,946,946
H0CA190822012,16,16
H0CA190822014,2,2
H0CA191732012,526,526
H0CA191732014,480,480
H0CA260872012,28,28
H0CA270852012,364,364
H0CA270852014,206,206
H0CA321012012,616,616
H0CA321012014,388,388
H0CA331172012,74,74
H0CA331172014,374,374
H0CA480242012,534,534
H0CA480242014,350,350
H0CA490552012,172,172
H0CA490552014,70,70
H0CA510362012,62,62
H0CO041222012,604,604
H0CO041222014,6734,6734
H0CT030722012,430,430
H0CT030722014,284,284
H0CT041462014,535,535
H0CT051502012,48,48
H0CT051502014,224,224
H0DE010172012,154,154
H0DE010172014,46,46
H0FL020862012,244,244
H0FL021102012,688,688
H0FL021102014,1020,1020
H0FL021362014,4,4
H0FL031002012,6,6
H0FL040662012,20,20
H0FL040662014,74,74
H0FL051392012,12,12
H0FL051392014,10,10
H0FL070772012,136,136
H0FL082082012,262,262
H0FL082082014,200,200
H0FL121012012,70,70
H0FL121012014,110,110
H0FL140652012,36,36
H0FL150542012,24,24
H0FL170682012,22,22
H0FL170682014,16,16
H0FL180252012,358,358
H0FL180252014,122,122
H0FL190802012,236,236
H0FL190802014,112,112
H0FL200702012,652,652
H0FL200702014,8,8
H0FL201042012,18,18
H0FL250382012,74,74
H0GA071252014,94,94
H0GA071332012,14,14
H0GA071332014,206,206
H0GA080992012,154,154
H0GA080992014,118,118
H0GA090302012,178,178
H0GA090302014,200,200
H0HI011572012,110,110
H0HI011572014,309,309
H0IA011172012,642,642
H0ID012532012,336,336
H0ID012532014,166,166
H0IL050962012,204,204
H0IL050962014,286,286
H0IL080902012,810,810
H0IL103022012,4804,4804
H0IL103022014,4368,4368
H0IL110522012,252,252
H0IL110522014,438,438
H0IL140802012,338,338
H0IL140802014,194,194
H0IL170592012,1320,1320
H0IL170592014,792,792
H0IN021252012,286,286
H0IN021252014,342,342
H0IN031982012,302,302
H0IN031982014,388,388
H0IN041702012,358,358
H0IN041702014,410,410
H0IN071572012,80,80
H0IN081142012,758,758
H0IN081142014,286,286
H0IN090702012,998,998
H0IN090702014,746,746
H0KS031372012,244,244
H0KS031372014,394,394
H0KS040512012,424,424
H0KS040512014,254,254
H0KS041012012,2,2
H0KY032262012,80,80
H0KY050152012,258,258
H0KY050152014,130,130
H0KY061042012,1956,1956
H0KY061042014,1032,1032
H0LA010872012,168,168
H0LA010872014,184,184
H0LA031412012,508,508
H0MA041272012,324,324
H0MA050662012,84,84
H0MA100822012,138,138
H0MA100822014,116,116
H0MD070722012,36,36
H0MD081382012,12,12
H0MI010882012,456,456
H0MI010882014,516,516
H0MI011532012,562,562
H0MI011532014,2,2
H0MI020942012,242,242
H0MI020942014,118,118
